가계수지항목별,1분위-가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,19.99,962363,1149077,975572,201966,22317,45236,139207,27939,84037,91684,76869,40313,76230,105235,64539,173505
2006,19.98,997060,1171240,998002,200351,21875,46978,152669,30714,87123,89696,77774,40492,74235,102265,73830,173238
2007,19.99,1018628,1198266,1018220,205298,21150,48729,152859,35065,96236,89116,79162,42295,79243,105627,63441,180045
2008,19.99,1080273,1285429,1096275,220487,21372,51632,163771,34927,105860,102109,80763,44653,89907,114820,65975,189154
2009,19.99,1097827,1276215,1073561,214472,20123,46911,171009,32678,99940,102163,78674,44272,85230,111101,66987,202655
2010,20,1191107,1368621,1151306,235689,19668,53120,184578,37456,114189,96831,80527,48985,85735,114734,79794,217316
2011,20,1254913,1455296,1218715,252298,18943,58582,200465,38610,120711,108400,82417,49377,85098,118520,85293,236581
2012,20,1352073,1503490,1254583,260771,20524,63142,208253,40520,117188,107444,84712,55675,78862,127747,89745,248908
2013,20,1382632,1516218,1258085,260686,21173,60073,207823,43649,129140,119736,84263,52334,76617,123687,78903,258133
2014,20,1460535,1509605,1257124,256069,21793,63042,202984,43933,126391,120081,82834,53560,66766,134684,84987,252481
2015,19.99,1532152,1534232,1283078,256706,23936,59662,206789,46055,131715,122660,82614,57880,70620,137382,87060,251154
2016,19.97,1446963,1513744,1268547,259229,24499,58583,215119,50858,134541,106425,77928,55131,72975,128514,84744,245198
2017    ,19.97,1398489,1327588,1146020,232587,18764,54749,217642,46338,123528,92400,57348,60447,45652,122978,73587,181569
2018    ,19.99,1434559,1332150,1156541,235699,19879,55199,236401,47448,119692,99335,53459,60475,33087,124762,71104,175609
2019    ,19.98,1504820,1199521,1024035,203446,22613,39685,200109,48911,132112,75175,48375,54186,21607,111415,66401,175486
