가계수지항목별,1분위-가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,20,2614734,2210255,1798405,269092,31129,106745,178519,60152,98011,217903,138654,92603,194597,262392,148608,411850
2006,20.01,2722957,2300825,1866754,270267,33053,114128,186963,58574,104979,228047,139959,93132,212683,270148,154822,434071
2007,20,2856736,2410310,1960068,276733,32242,117979,194252,65622,114329,249306,143266,92102,240358,275955,157924,450242
2008,20,3016232,2512150,2031754,293919,31580,118015,199903,64694,113507,247688,143536,94643,266554,284831,172882,480396
2009,20,3096445,2611567,2086743,296931,28734,120817,206998,65274,125387,245160,139334,103190,294299,280035,180584,524824
2010,20.01,3294378,2782965,2216525,311299,28620,136049,228474,70621,136445,260405,147598,118137,281204,297827,199846,566439
2011,20,3505276,2952858,2350615,338398,30316,150088,247621,81084,148522,274253,154125,114945,284900,303589,222773,602244
2012,19.99,3696992,3032453,2410953,349442,31583,159922,256695,85831,146759,274653,164363,121825,290285,317101,212492,621500
2013,19.98,3780828,3013067,2360163,339495,31216,159242,263031,86927,150133,267605,161238,125551,258693,322007,195026,652904
2014,19.99,3917422,3208489,2531812,358179,29873,165822,262831,94007,166755,332745,159038,140651,275740,335301,210871,676677
2015,20.01,4003394,3223300,2522529,359863,35186,159336,274665,94080,166957,291991,156330,140869,279051,343260,220941,700771
2016,20,4009979,3179931,2491871,354877,38291,155949,266990,94180,176559,278689,155998,137491,273758,348351,210737,688061
2017    ,20.01,4025947,3026058,2405029,353640,40848,144387,285748,98656,166197,352964,142080,153299,134213,348101,184896,621029
2018    ,19.93,3947343,3081548,2421320,361032,41182,137329,288113,109044,198836,315343,142846,165152,125053,350063,187327,660228
2019    ,20,4038302,3037551,2349782,328589,42345,129719,285792,99986,190570,307911,128777,151169,147602,340352,196969,687769
