가계수지항목별,가구분포 (%),소득 (원),가계지출 (원),소비지출 (원),01.식료품 · 비주류음료 (원),02.주류 · 담배 (원),03.의류 · 신발 (원),04.주거 · 수도 · 광열 (원),05.가정용품 · 가사서비스 (원),06.보건 (원),07.교통 (원),08.통신 (원),09.오락 · 문화 (원),10.교육 (원),11.음식 · 숙박 (원),12.기타상품 · 서비스 (원),비소비지출 (원)
2005,100,2898284,2366421,1871887,273402,28415,118789,183581,66965,111376,225351,131342,101168,211837,258515,161146,494534
2006,100,3038307,2475298,1945017,275689,29275,123118,192880,67906,120224,243810,132199,104071,222341,260027,173476,530281
2007,100,3200005,2583685,2015909,277711,28414,128220,195763,75088,128186,249987,134287,107711,240661,271549,178332,567776
2008,100,3390738,2718046,2114217,298296,28350,131371,205512,73432,130425,261932,133984,108886,271122,286805,184101,603829
2009,100,3432021,2775560,2149184,297652,26722,131583,210877,76557,140743,265737,132468,112251,289820,279533,185242,626375
2010,100,3631713,2960892,2286874,316936,27522,145964,230212,86139,152150,271093,138646,126568,296801,290922,203920,674018
2011,100,3841586,3114946,2392666,339371,27850,156707,242821,89880,156366,294594,142909,128946,294749,299114,219358,722280
2012,100,4076876,3216894,2457441,349190,28131,165883,256147,93075,158854,301694,152359,135691,288543,311576,216300,759453
2013,100,4161833,3261590,2480725,348240,28014,169490,266970,99238,163805,307540,152792,138991,283453,319833,202359,780865
2014,100,4302352,3355512,2551057,351183,27840,169351,264721,104716,168326,333964,150350,146814,284600,334878,214314,804454
2015,100,4373116,3373302,2563092,354023,33064,161900,277468,105183,174362,321587,147725,149908,283331,339457,215084,810211
2016,100,4399190,3361396,2549731,349418,34826,157964,273082,109242,177211,307652,144001,149652,282124,344359,220201,811665
2017,100,4593284,3316143,2556823,360273,34813,159018,282999,112030,181796,369150,137838,174693,188343,354158,201712,759319
2018,100,4346509,3326764,2537641,366672,35028,152206,285461,117115,191120,348808,134107,191772,173372,349699,192282,789123
2019,100,4445156,3329804,2456678,332558,35802,138180,276589,115323,202279,295974,123006,180301,204775,345710,206182,873126
